title,industry,ai_approved,ai_reason,judged_at
Access Anchor,cybersecurity,True,,2026-08-18T07:51:55.730113+09:00
Access Assistant,,True,,2026-08-17T23:27:50.871251+09:00
Access Atlas,,True,,2026-08-17T20:48:06.680156+09:00
Access Base,,True,,2026-08-17T20:44:21.106446+09:00
Access Beacon,,True,,2026-08-17T20:34:16.019094+09:00
Access Board,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Bridge,cybersecurity,True,,2026-08-18T07:51:55.730113+09:00
Access Cascade,,True,,2026-08-17T20:32:03.329355+09:00
Access Center,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Chain,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Cockpit,,True,,2026-08-17T23:13:09.056664+09:00
Access Companion,,True,,2026-08-17T23:29:16.727834+09:00
Access Compass,,True,,2026-08-17T20:35:06.364440+09:00
Access Console,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Core,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Dashboard,,True,,2026-08-17T23:28:58.984040+09:00
Access Deck,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Desk,,True,,2026-08-17T20:38:51.261946+09:00
Access Dial,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Dock,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Engine,,True,,2026-08-17T23:09:54.812310+09:00
Access Flow,,True,,2026-08-17T20:41:20.787117+09:00
Access Forge,,True,,2026-08-17T20:33:16.020559+09:00
Access Frame,,True,,2026-08-17T20:45:22.370262+09:00
Access Gate,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Grid,,True,,2026-08-17T21:35:18.423759+09:00
Access Guard,,True,,2026-08-17T20:43:57.612589+09:00
Access Hub,,True,,2026-08-17T20:40:36.395454+09:00
Access Insight,,True,,2026-08-17T23:06:04.469497+09:00
Access Keeper,,True,,2026-08-17T20:45:46.874737+09:00
Access Lab,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Ledger,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Lens,,True,,2026-08-17T20:46:12.433556+09:00
Access Lock,,True,,2026-08-17T20:48:40.258747+09:00
Access Loop,,True,,2026-08-17T21:36:24.237197+09:00
Access Manager,,True,,2026-08-17T20:44:45.631544+09:00
Access Map,,True,,2026-08-17T20:47:23.581270+09:00
Access Meter,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Metrics,,True,,2026-08-17T23:28:41.981102+09:00
Access Monitor,,True,,2026-08-17T23:28:19.331420+09:00
Access Navigator,,True,,2026-08-17T23:07:52.950180+09:00
Access Nexus,,True,,2026-08-17T21:30:24.502544+09:00
Access Node,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Ops,,True,,2026-08-17T23:29:34.686853+09:00
Access Organizer,,True,,2026-08-17T23:11:28.950122+09:00
Access Panel,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Path,,True,,2026-08-17T21:32:05.797514+09:00
Access Pilot,,True,,2026-08-17T20:39:49.091027+09:00
Access Planner,,True,,2026-08-17T23:04:15.040980+09:00
Access Point,,True,,2026-08-17T21:30:57.458125+09:00
Access Portal,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Pulse,,True,,2026-08-17T21:34:17.965302+09:00
Access Radar,,True,,2026-08-17T20:38:02.236902+09:00
Access Rail,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Register,,True,,2026-08-17T23:14:46.249386+09:00
Access Relay,,True,,2026-08-17T20:37:03.531282+09:00
Access Ring,cybersecurity,False,"TITLE_UNCLEAR: Ring is abstract, no SaaS function is suggested (established prior batches)",2026-08-18T07:43:20.334023+09:00
