title,industry,ai_approved,ai_reason,judged_at
Campaign Signal,marketing,True,,2026-08-18T01:28:04.577831+09:00
Candidate Path,recruiting,True,,2026-08-18T01:28:04.577831+09:00
Contract Sync,legal,True,,2026-08-18T01:28:04.577831+09:00
Deployment Pulse,it_devops,True,,2026-08-18T01:28:04.577831+09:00
Donor Bridge,nonprofit,True,,2026-08-18T01:28:04.577831+09:00
Editorial Watch,media_publishing,True,,2026-08-18T01:28:04.577831+09:00
Enrollment Compass,education,True,,2026-08-18T01:28:04.577831+09:00
Freight Flow,logistics,True,,2026-08-18T01:28:04.577831+09:00
Harvest Forge,agriculture,True,,2026-08-18T01:28:04.577831+09:00
Incident Grid,cybersecurity,True,,2026-08-18T01:28:04.577831+09:00
Inventory Map,food_service,True,,2026-08-18T01:28:04.577831+09:00
Inventory Relay,retail_ecommerce,True,,2026-08-18T01:28:04.577831+09:00
Lease Hub,real_estate,True,,2026-08-18T01:28:04.577831+09:00
Ledger Tracker,finance,True,,2026-08-18T01:28:04.577831+09:00
Membership Base,fitness_wellness,True,,2026-08-18T01:28:04.577831+09:00
Meter Cascade,energy_utilities,True,,2026-08-18T01:28:04.577831+09:00
Onboarding Desk,hr_payroll,True,,2026-08-18T01:28:04.577831+09:00
Patient Frame,dental,True,,2026-08-18T01:28:04.577831+09:00
Patient Guard,healthcare,True,,2026-08-18T01:28:04.577831+09:00
Patient Lens,veterinary,True,,2026-08-18T01:28:04.577831+09:00
Permit Anchor,government,True,,2026-08-18T01:28:04.577831+09:00
Permit Radar,construction,True,,2026-08-18T01:28:04.577831+09:00
Policy Pilot,insurance,True,,2026-08-18T01:28:04.577831+09:00
Production Beacon,manufacturing,True,,2026-08-18T01:28:04.577831+09:00
Registration Point,events,True,,2026-08-18T01:28:04.577831+09:00
Reservation Vault,hospitality,True,,2026-08-18T01:28:04.577831+09:00
Route Scope,transportation,True,,2026-08-18T01:28:04.577831+09:00
Subscriber Loop,telecom,True,,2026-08-18T01:28:04.577831+09:00
Ticket Wave,customer_support,True,,2026-08-18T01:28:04.577831+09:00
Warranty Lock,automotive,True,,2026-08-18T01:28:04.577831+09:00
