title,industry,ai_approved,ai_reason,judged_at
Appointment Terminal,salon_spa,False,Terminal은 운송/해운/항공/물류 업계 외에는 의미가 맞지 않음(salon_spa),2026-08-18T01:30:57.525706+09:00
Arrangement Station,funeral_services,True,,2026-08-18T01:30:57.525706+09:00
Blueprint Trail,construction,True,,2026-08-18T01:30:57.525706+09:00
Campaign Signal,marketing,True,,2026-08-18T01:28:04.577831+09:00
Candidate Path,recruiting,True,,2026-08-18T01:28:04.577831+09:00
Contract Sync,legal,True,,2026-08-18T01:28:04.577831+09:00
Deployment Pulse,it_devops,True,,2026-08-18T01:28:04.577831+09:00
Docket Meter,legal,True,,2026-08-18T01:30:57.525706+09:00
Donor Bridge,nonprofit,True,,2026-08-18T01:28:04.577831+09:00
Editorial Watch,media_publishing,True,,2026-08-18T01:28:04.577831+09:00
Enrollment Compass,education,True,,2026-08-18T01:28:04.577831+09:00
Enrollment Core,childcare,True,,2026-08-18T01:30:57.525706+09:00
Extraction Console,mining,True,,2026-08-18T01:30:57.525706+09:00
Flight Portal,aviation,True,,2026-08-18T01:30:57.525706+09:00
Freight Flow,logistics,True,,2026-08-18T01:28:04.577831+09:00
Harvest Forge,agriculture,True,,2026-08-18T01:28:04.577831+09:00
Incident Grid,cybersecurity,True,,2026-08-18T01:28:04.577831+09:00
Inventory Map,food_service,True,,2026-08-18T01:28:04.577831+09:00
Inventory Relay,retail_ecommerce,True,,2026-08-18T01:28:04.577831+09:00
Invoice Dial,finance,True,,2026-08-18T01:30:57.525706+09:00
Lease Hub,real_estate,True,,2026-08-18T01:28:04.577831+09:00
Ledger Tracker,finance,True,,2026-08-18T01:28:04.577831+09:00
Membership Base,fitness_wellness,True,,2026-08-18T01:28:04.577831+09:00
Meter Cascade,energy_utilities,True,,2026-08-18T01:28:04.577831+09:00
Onboarding Desk,hr_payroll,True,,2026-08-18T01:28:04.577831+09:00
Order Lab,laundry_dry_cleaning,True,,2026-08-18T01:30:57.525706+09:00
Patient Frame,dental,True,,2026-08-18T01:28:04.577831+09:00
Patient Guard,healthcare,True,,2026-08-18T01:28:04.577831+09:00
Patient Lens,veterinary,True,,2026-08-18T01:28:04.577831+09:00
Permit Anchor,government,True,,2026-08-18T01:28:04.577831+09:00
Permit Radar,construction,True,,2026-08-18T01:28:04.577831+09:00
Policy Pilot,insurance,True,,2026-08-18T01:28:04.577831+09:00
Premium Dock,insurance,True,,2026-08-18T01:30:57.525706+09:00
Prescription Center,pharmacy,True,,2026-08-18T01:30:57.525706+09:00
Production Beacon,manufacturing,True,,2026-08-18T01:28:04.577831+09:00
Referral Panel,healthcare,True,,2026-08-18T01:30:57.525706+09:00
Registration Point,events,True,,2026-08-18T01:28:04.577831+09:00
Reservation Vault,hospitality,True,,2026-08-18T01:28:04.577831+09:00
Resident Ledger,senior_care,True,,2026-08-18T01:30:57.525706+09:00
Route Board,pest_control,True,,2026-08-18T01:30:57.525706+09:00
Route Deck,landscaping,True,,2026-08-18T01:30:57.525706+09:00
Route Scope,transportation,True,,2026-08-18T01:28:04.577831+09:00
Route Studio,cleaning_services,False,Studio는 창작/제작 워크스페이스를 연상시켜 경로/현장서비스 관리 도구라는 의미가 불명확함,2026-08-18T01:30:57.525706+09:00
Shipment Scale,logistics,True,,2026-08-18T01:30:57.525706+09:00
Subscriber Loop,telecom,True,,2026-08-18T01:28:04.577831+09:00
Tenant Route,real_estate,True,,2026-08-18T01:30:57.525706+09:00
Ticket Wave,customer_support,True,,2026-08-18T01:28:04.577831+09:00
Timesheet Rail,hr_payroll,True,,2026-08-18T01:30:57.525706+09:00
Vessel Zone,maritime_shipping,True,,2026-08-18T01:30:57.525706+09:00
Warranty Lock,automotive,True,,2026-08-18T01:28:04.577831+09:00
